Round,Day of measurement,ID,Group,Weight (g),pH,Bubbles (mm)
1,Day 0,1,Br,460,4.2,0
1,Day 1,1,Br,460,3.3,32
1,Day 2,1,Br,480,3.2,46
1,Day 3,1,Br,520,3.1,10
1,Day 0,2,Br,440,4.3,0
1,Day 1,2,Br,460,3.2,31
1,Day 2,2,Br,500,2.8,52
1,Day 3,2,Br,500,3.1,5
1,Day 0,1,W,480,4.4,0
1,Day 1,1,W,500,3.3,24
1,Day 2,1,W,500,3.1,37
1,Day 3,1,W,520,2.6,20
1,Day 0,2,W,480,4.4,0
1,Day 1,2,W,520,2.9,35
1,Day 2,2,W,520,3.1,38
1,Day 3,2,W,540,2.8,36
1,Day 0,1,C,480,5.2,0
1,Day 1,1,C,,5,
1,Day 2,1,C,N/A,6.1,N/A
1,Day 3,1,C,N/A,N/A,N/A
1,Day 0,2,C,440,4.9,0
1,Day 1,2,C,,5.1,
1,Day 2,2,C,N/A,N/A,N/A
1,Day 3,2,C,N/A,N/A,N/A
2,Day 0,1,Br,450,4.4,0
2,Day 1,1,Br,450,3.5,24
2,Day 2,1,Br,460,2.5,32
2,Day 3,1,Br,480,2.7,15
2,Day 0,2,Br,440,4.4,0
2,Day 1,2,Br,440,3.4,27
2,Day 2,2,Br,480,2.8,29
2,Day 3,2,Br,460,2.3,28
2,Day 0,3,Br,440,4.2,0
2,Day 1,3,Br,420,3.4,31
2,Day 2,3,Br,480,2.8,29
2,Day 3,3,Br,520,3,17
2,Day 0,1,W,460,4.4,0
2,Day 1,1,W,460,3.4,25
2,Day 2,1,W,500,3,31
2,Day 3,1,W,500,2.8,29
2,Day 0,2,W,440,4.3,0
2,Day 1,2,W,440,3.3,17
2,Day 2,2,W,460,3.1,25
2,Day 3,2,W,500,2.7,21
2,Day 0,3,W,440,4.2,0
2,Day 1,3,W,440,3.4,13
2,Day 2,3,W,480,2.9,31
2,Day 3,3,W,520,2.5,22